<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.08.12	38.50	38.50	38.10	38.29	2582	0	0
2013.08.13	38.31	38.45	36.77	36.95	3420	0	0
2013.08.14	36.85	37.55	36.57	36.74	3360	0	0
2013.08.15	36.55	37.07	36.02	36.64	3480	0	0
2013.08.16	36.74	37.49	36.50	37.00	3016	0	0
2013.08.19	37.20	38.28	37.10	38.08	3560	0	0
2013.08.20	37.86	38.58	37.69	38.48	3860	0	0
2013.08.21	38.47	38.85	38.09	38.10	3686	0	0
2013.08.22	38.21	38.75	38.21	38.64	1770	0	0
2013.08.23	38.58	40.67	38.58	40.65	4182	0	0
2013.08.26	40.51	41.94	40.20	41.36	5021	0	0
2013.08.27	41.34	41.34	39.42	39.61	5741	0	0
2013.08.28	39.54	40.85	39.44	40.43	4260	0	0
2013.08.29	40.55	41.78	40.55	41.26	3949	0	0
2013.08.30	41.20	42.26	41.00	41.32	4732	0	0
2013.09.03	41.58	42.17	41.28	41.88	4185	0	0
2013.09.04	41.77	42.17	41.44	41.83	3272	0	0
2013.09.05	41.85	42.77	41.70	42.75	3328	0	0
2013.09.06	42.78	44.61	42.40	43.90	5471	0	0
2013.09.09	44.20	44.79	43.70	44.04	4658	0	0
2013.09.10	44.00	44.49	43.23	43.60	4030	0	0
2013.09.11	43.56	45.40	43.11	45.10	4972	0	0
2013.09.12	45.00	46.00	44.65	44.87	5327	0	0
2013.09.13	45.00	45.16	43.93	44.24	3983	0	0
2013.09.16	44.73	45.02	42.32	42.47	4971	0	0
2013.09.17	42.20	45.44	42.02	45.12	5786	0	0
2013.09.18	45.34	45.47	44.40	45.30	5272	0	0
2013.09.19	45.46	46.05	45.23	45.97	4312	0	0
2013.09.20	45.98	47.60	45.74	47.27	6020	0	0
2013.09.23	47.49	47.60	46.29	47.18	5353	0	0
2013.09.24	47.40	49.66	47.40	48.67	6775	0	0
2013.09.25	48.56	49.58	48.02	49.40	6623	0	0
2013.09.26	49.56	50.60	49.46	50.49	5853	0	0
2013.09.27	50.96	51.30	49.86	51.18	6209	0	0
2013.09.30	50.99	51.60	49.80	49.98	6637	0	0
2013.10.01	50.20	51.03	49.45	50.51	6123	0	0
2013.10.02	50.53	51.10	49.95	50.20	5075	0	0
2013.10.03	50.15	50.72	49.06	49.58	7260	0	0
2013.10.04	49.65	51.16	49.18	51.01	5254	0	0
2013.10.07	50.60	51.29	50.30	50.48	5224	0	0
2013.10.08	50.53	50.87	46.99	47.30	8604	0	0
2013.10.09	47.26	47.84	45.26	46.97	9695	0	0
2013.10.10	47.04	49.68	47.04	48.78	6990	0	0
2013.10.11	48.88	49.87	48.79	49.15	5242	0	0
2013.10.14	48.83	49.63	47.91	49.60	5359	0	0
2013.10.15	49.60	51.00	49.18	49.86	6496	0	0
2013.10.16	49.86	51.24	49.49	51.10	5562	0	0
2013.10.17	51.21	53.47	50.90	53.43	7115	0	0
2013.10.18	53.40	54.83	52.95	54.26	6692	0	0
2013.10.21	54.50	54.89	53.51	53.84	6277	0	0
2013.10.22	54.00	54.76	52.20	52.86	6966	0	0
2013.10.23	52.50	52.50	51.13	51.92	5807	0	0
2013.10.24	52.30	53.25	51.59	53.23	5805	0	0
2013.10.25	53.22	53.31	51.80	51.80	5038	0	0
2013.10.28	52.37	52.45	49.61	50.34	6374	0	0
2013.10.29	50.18	50.79	49.06	49.50	8245	0	0
2013.10.30	49.87	57.98	47.25	48.99	23567	0	0
2013.10.31	48.97	52.00	46.38	50.57	21869	0	0
2013.11.01	50.02	52.09	49.48	49.59	8413	0	0
2013.11.04	49.60	49.78	48.02	48.15	7394	0	0
2013.11.05	48.15	50.18	47.51	49.90	6271	0	0
2013.11.06	50.10	50.60	48.71	49.01	6053	0	0
2013.11.07	49.03	49.87	47.30	47.49	8044	0	0
2013.11.08	47.75	48.65	47.25	47.37	6558	0	0
2013.11.11	47.61	47.78	45.73	46.14	5929	0	0
2013.11.12	45.94	47.37	45.50	46.53	5661	0	0
2013.11.13	46.20	48.84	46.06	48.77	6383	0	0
2013.11.14	48.84	49.57	48.03	48.85	6203	0	0
2013.11.15	48.76	49.48	48.71	49.04	3937	0	0
2013.11.18	49.01	49.26	45.80	45.95	6817	0	0
2013.11.19	45.96	47.00	45.71	46.35	6223	0	0
2013.11.20	46.52	47.55	46.14	46.54	5224	0	0
2013.11.21	46.80	47.46	46.65	46.88	4038	0	0
2013.11.22	46.90	47.27	45.96	46.26	4198	0	0
2013.11.25	46.38	46.68	44.04	44.84	5982	0	0
2013.11.26	44.68	46.17	43.55	45.86	5912	0	0
2013.11.27	45.89	46.67	45.53	46.52	4502	0	0
2013.11.29	46.49	47.21	46.49	47.00	2248	0	0
2013.12.02	47.35	47.54	46.26	47.04	4511	0	0
2013.12.03	46.94	47.20	46.29	46.67	3897	0	0
2013.12.04	46.93	49.20	46.26	47.88	6878	0	0
2013.12.05	48.51	48.70	47.80	48.28	4933	0	0
2013.12.06	48.50	49.39	47.71	47.89	4825	0	0
2013.12.09	48.15	48.97	47.74	48.90	4297	0	0
2013.12.10	49.00	50.77	48.47	50.32	5747	0	0
2013.12.11	50.24	51.69	49.01	51.36	6949	0	0
2013.12.12	51.36	52.07	49.30	51.60	6324	0	0
2013.12.13	52.08	53.50	51.34	53.15	5531	0	0
2013.12.16	53.13	54.50	52.91	53.68	5679	0	0
2013.12.17	53.68	55.18	53.68	54.90	6292	0	0
2013.12.18	54.98	55.89	53.75	55.79	6701	0	0
2013.12.19	55.80	55.80	52.65	54.94	9280	0	0
2013.12.20	55.05	55.24	54.23	55.07	4613	0	0
2013.12.23	55.12	58.32	55.08	57.75	6603	0	0
2013.12.24	57.97	58.58	56.91	58.04	4124	0	0
2013.12.26	58.41	58.41	57.37	57.69	4822	0	0
2013.12.27	57.74	58.04	55.12	55.12	5549	0	0
2013.12.30	55.21	55.52	53.43	53.68	6365	0	0
2013.12.31	53.88	54.87	53.80	54.80	4455	0	0
2014.01.02	54.90	55.22	54.19	54.61	4942	0	0
2014.01.03	54.27	55.65	54.27	54.50	4452	0	0
2014.01.06	54.54	57.26	54.00	57.23	6528	0	0
2014.01.07	57.33	58.55	57.10	57.93	6259	0	0
2014.01.08	57.83	58.41	57.10	58.28	5512	0	0
2014.01.09	58.33	58.96	56.65	57.22	6228	0	0
2014.01.10	57.19	58.30	57.03	57.66	5082	0	0
2014.01.13	57.74	58.25	55.38	56.02	5545	0	0
2014.01.14	56.18	57.79	55.90	57.75	4815	0	0
